"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","1","1","1","2022-09-11","JAX","@","WAS","L, 22-28","","4","47","0","11.8","4","2","18","9.0","0","50.0","4.5","1","0","0","0","0","0","36","51.4","0","0.0","0","0.0"
"2","2","2","2","2022-09-18","JAX","","IND","W, 24-0","","9","20","0","2.2","3","3","33","11.0","0","100.0","11.0","0","0","0","0","0","0","26","36.6","0","0.0","0","0.0"
"3","3","3","3","2022-09-25","JAX","@","LAC","W, 38-10","","13","45","0","3.5","3","3","30","10.0","0","100.0","10.0","0","0","0","0","0","0","33","43.4","0","0.0","0","0.0"
"4","4","4","4","2022-10-02","JAX","@","PHI","L, 21-29","","8","32","0","4.0","1","0","0","","0","0.0","0.0","0","0","0","0","0","0","24","51.1","0","0.0","0","0.0"
"5","5","5","5","2022-10-09","JAX","","HOU","L, 6-13","","10","71","0","7.1","5","3","43","14.3","0","60.0","8.6","0","0","0","0","0","0","40","53.3","0","0.0","0","0.0"
"6","6","6","6","2022-10-16","JAX","@","IND","L, 27-34","*","10","86","0","8.6","2","2","22","11.0","0","100.0","11.0","1","0","0","0","0","0","29","46.0","0","0.0","0","0.0"
"7","7","7","7","2022-10-23","JAX","","NYG","L, 17-23","*","14","114","1","8.1","5","1","5","5.0","0","20.0","1.0","1","1","0","0","0","0","57","80.3","0","0.0","0","0.0"
"8","8","8","8","2022-10-30","JAX","","DEN","L, 17-21","*","24","156","1","6.5","3","3","6","2.0","0","100.0","2.0","0","0","0","0","0","0","57","79.2","0","0.0","0","0.0"
"9","9","9","9","2022-11-06","JAX","","LVR","W, 27-20","*","28","109","2","3.9","2","2","17","8.5","0","100.0","8.5","0","0","0","0","0","0","56","81.2","0","0.0","0","0.0"
"10","10","10","10","2022-11-13","JAX","@","KAN","L, 17-27","*","11","45","0","4.1","3","3","28","9.3","0","100.0","9.3","0","0","0","0","0","0","50","78.1","0","0.0","0","0.0"
"11","11","11","12","2022-11-27","JAX","","BAL","W, 28-27","*","2","3","0","1.5","0","0","0","","0","","","0","0","0","0","0","0","5","7.9","0","0.0","0","0.0"
"12","12","12","13","2022-12-04","JAX","@","DET","L, 14-40","*","13","54","0","4.2","3","3","12","4.0","0","100.0","4.0","1","1","0","0","0","0","49","87.5","0","0.0","0","0.0"
"13","13","13","14","2022-12-11","JAX","@","TEN","W, 36-22","*","17","32","0","1.9","0","0","0","","0","","","0","0","0","0","0","0","54","75.0","0","0.0","0","0.0"
"14","14","14","15","2022-12-18","JAX","","DAL","W, 40-34 (OT)","*","19","103","0","5.4","3","2","24","12.0","0","66.7","8.0","1","1","0","0","0","0","51","72.9","0","0.0","0","0.0"
"15","15","15","16","2022-12-22","JAX","@","NYJ","W, 19-3","*","22","83","0","3.8","3","3","29","9.7","0","100.0","9.7","0","0","0","0","0","0","51","70.8","0","0.0","0","0.0"
"16","16","16","17","2023-01-01","JAX","@","HOU","W, 31-3","*","9","108","1","12.0","3","3","32","10.7","0","100.0","10.7","0","0","0","1","0","0","24","38.1","0","0.0","0","0.0"
"17","17","17","18","2023-01-07","JAX","","TEN","W, 20-16","*","7","17","0","2.4","2","2","17","8.5","0","100.0","8.5","0","0","0","0","0","0","27","55.1","0","0.0","0","0.0"
"","","","","","","","","9-8","","220","1125","5","5.1","45","35","316","9.0","0","77.8","7.0","5","3","0","1","0","0","669","59.6","0","0.0","0","0.0"
