Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,35.0,1.0,1.0,2023-09-10,PIT,,SFO,"L, 7-30",*,6,31,0,5.2,2,2,2,1.0,0,100.0,1.0,0,0,0,0,0,0,33,52.4,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
2.0,36.0,2.0,2.0,2023-09-18,PIT,,CLE,"W, 26-22",*,10,43,0,4.3,3,1,0,0.0,0,33.3,0.0,0,0,0,0,0,0,31,57.4,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
3.0,37.0,3.0,3.0,2023-09-24,PIT,@,LVR,"W, 23-18",*,19,65,0,3.4,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,31,50.0,0,0.0,1,3.4,harrna00,2023,harrna00_2023_gamelog.csv
4.0,38.0,4.0,4.0,2023-10-01,PIT,@,HOU,"L, 6-30",*,14,71,0,5.1,2,1,32,32.0,0,50.0,16.0,0,0,0,0,0,0,29,49.2,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
5.0,39.0,5.0,5.0,2023-10-08,PIT,,BAL,"W, 17-10",*,14,37,0,2.6,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,37,56.1,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
6.0,40.0,6.0,7.0,2023-10-22,PIT,@,LAR,"W, 24-17",*,14,53,1,3.8,3,3,15,5.0,0,100.0,5.0,1,0,0,0,0,0,34,57.6,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
7.0,41.0,7.0,8.0,2023-10-29,PIT,,JAX,"L, 10-20",*,7,13,0,1.9,5,5,42,8.4,0,100.0,8.4,0,0,0,0,0,0,35,52.2,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
8.0,42.0,8.0,9.0,2023-11-02,PIT,,TEN,"W, 20-16",*,16,69,1,4.3,4,2,7,3.5,0,50.0,1.8,0,0,0,0,0,0,38,58.5,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
9.0,43.0,9.0,10.0,2023-11-12,PIT,,GNB,"W, 23-19",*,16,82,1,5.1,4,3,14,4.7,0,75.0,3.5,0,0,0,0,0,0,33,50.8,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
10.0,44.0,10.0,11.0,2023-11-19,PIT,@,CLE,"L, 10-13",*,12,35,0,2.9,2,1,1,1.0,0,50.0,0.5,0,0,0,0,0,0,33,56.9,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
11.0,45.0,11.0,12.0,2023-11-26,PIT,@,CIN,"W, 16-10",*,15,99,1,6.6,0,0,0,,0,,,0,0,0,0,0,0,38,53.5,0,0.0,1,4.2,harrna00,2023,harrna00_2023_gamelog.csv
12.0,46.0,12.0,13.0,2023-12-03,PIT,,ARI,"L, 10-24",*,16,63,0,3.9,3,2,14,7.0,0,66.7,4.7,0,0,0,0,0,0,36,59.0,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
13.0,47.0,13.0,14.0,2023-12-07,PIT,,NWE,"L, 18-21",*,12,29,0,2.4,3,3,19,6.3,0,100.0,6.3,0,0,0,0,0,0,40,57.1,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
14.0,48.0,14.0,15.0,2023-12-16,PIT,@,IND,"L, 13-30",*,12,33,0,2.8,0,0,0,,0,,,1,1,0,0,0,0,20,34.5,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
15.0,49.0,15.0,16.0,2023-12-23,PIT,,CIN,"W, 34-11",*,19,78,1,4.1,0,0,0,,0,,,0,0,0,0,0,0,26,44.1,0,0.0,0,0.0,harrna00,2023,harrna00_2023_gamelog.csv
16.0,50.0,16.0,17.0,2023-12-31,PIT,@,SEA,"W, 30-23",*,27,122,2,4.5,0,0,0,,0,,,0,0,0,0,0,0,38,52.8,0,0.0,1,3.6,harrna00,2023,harrna00_2023_gamelog.csv
17.0,51.0,17.0,18.0,2024-01-06,PIT,@,BAL,"W, 17-10",*,26,112,1,4.3,5,5,21,4.2,0,100.0,4.2,0,0,0,0,0,0,37,59.7,0,0.0,1,3.7,harrna00,2023,harrna00_2023_gamelog.csv
